timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2531882,2531.882,14.75,87096.48,1258.3,15,19
2531908,2531.908,14.75,87093.56,1258.58,15,19
2531934,2531.934,14.75,87092.31,1258.7,15,19
2531960,2531.96,14.75,87093.12,1258.62,15,19
2531986,2531.986,14.75,87092.26,1258.7,15,19
2532012,2532.012,14.75,87096.81,1258.27,15,19
2532038,2532.038,14.75,87095.84,1258.36,15,19
2532064,2532.064,14.75,87093.04,1258.63,15,19
2532090,2532.09,14.75,87094.92,1258.45,15,19
2532116,2532.116,14.75,87093.8,1258.56,15,19
2532142,2532.142,14.75,87094.79,1258.46,15,19
2532168,2532.168,14.75,87095.2,1258.42,15,19
2532194,2532.194,14.75,87094.99,1258.44,15,19
2532220,2532.22,14.75,87093.04,1258.63,15,19
2532246,2532.246,14.75,87089.52,1258.96,15,19
2532272,2532.272,14.75,87093.45,1258.59,15,19
2532298,2532.298,14.75,87089.65,1258.95,15,19
2532324,2532.324,14.75,87092.64,1258.67,15,19
2532350,2532.35,14.75,87092.86,1258.64,15,19
2532376,2532.376,14.75,87090.42,1258.87,15,19
2532402,2532.402,14.75,87090.38,1258.88,15,19
2532428,2532.428,14.75,87087.94,1259.11,15,19
2532454,2532.454,14.75,87086.98,1259.2,15,19
2532480,2532.48,14.75,87088.66,1259.04,15,19
2532506,2532.506,14.75,87087.91,1259.11,15,19
2532532,2532.532,14.75,87087.83,1259.12,15,19
2532558,2532.558,14.75,87085.01,1259.38,15,19
2532584,2532.584,14.75,87086.52,1259.24,15,19
2532610,2532.61,14.75,87087.45,1259.15,15,19
2532636,2532.636,14.75,87087.02,1259.19,15,19
2532662,2532.662,14.75,87087.16,1259.18,15,19
2532688,2532.688,14.75,87089.92,1258.92,15,19
2532714,2532.714,14.75,87088.37,1259.07,15,19
2532740,2532.74,14.75,87086.68,1259.23,15,19
2532780,2532.78,14.75,87088.48,1259.06,15,19
2532800,2532.8,14.75,87087.29,1259.17,15,19
2532826,2532.826,14.75,87089.58,1258.95,15,19
2532852,2532.852,14.75,87085.77,1259.31,15,19
2532878,2532.878,14.75,87086.29,1259.26,15,19
2532904,2532.904,14.75,87083.14,1259.56,15,19
2532930,2532.93,14.75,87084.3,1259.45,15,19
2532956,2532.956,14.75,87084.12,1259.47,15,19
2532982,2532.982,14.75,87083.57,1259.52,15,19
2533008,2533.008,14.75,87086.45,1259.25,15,19
2533034,2533.034,14.75,87083.03,1259.57,15,19
2533060,2533.06,14.75,87085.77,1259.31,15,19
2533086,2533.086,14.75,87085.42,1259.34,15,19
2533112,2533.112,14.75,87087.05,1259.19,15,19
2533138,2533.138,14.75,87082.37,1259.63,15,19
2533164,2533.164,14.75,87083.18,1259.56,15,19
2533190,2533.19,14.75,87080.79,1259.78,15,19
2533216,2533.216,14.76,87083.61,1259.51,15,19
2533242,2533.242,14.75,87083.45,1259.53,15,19
2533268,2533.268,14.76,87082.41,1259.63,15,19
2533294,2533.294,14.75,87083.24,1259.55,15,19
2533319,2533.319,14.76,87079.7,1259.88,15,19
2533345,2533.345,14.76,87081.87,1259.68,15,19
2533371,2533.371,14.76,87082.48,1259.62,15,19
2533397,2533.397,14.76,87081.56,1259.71,15,19
2533423,2533.423,14.76,87082.64,1259.61,15,19
2533449,2533.449,14.76,87081.05,1259.76,15,19
2533475,2533.475,14.76,87079.25,1259.93,15,19
2533501,2533.501,14.76,87081.12,1259.75,15,19
2533527,2533.527,14.76,87080.57,1259.8,15,19
2533553,2533.553,14.76,87079.96,1259.86,15,19
2533579,2533.579,14.76,87081.31,1259.73,15,19
2533605,2533.605,14.76,87078.84,1259.96,15,19
2533631,2533.631,14.76,87081.17,1259.74,15,19
2533657,2533.657,14.76,87079.48,1259.9,15,19
2533683,2533.683,14.76,87079.17,1259.93,15,19
2533709,2533.709,14.76,87080.94,1259.77,15,19
2533735,2533.735,14.76,87078.16,1260.03,15,19
2533761,2533.761,14.76,87079.58,1259.89,15,19
2533801,2533.801,14.76,87078.23,1260.02,15,19
2533821,2533.821,14.76,87082.77,1259.59,15,19
2533847,2533.847,14.76,87083.49,1259.53,15,19
2533873,2533.873,14.75,87079.64,1259.89,15,19
2533899,2533.899,14.75,87081.84,1259.68,15,19
2533925,2533.925,14.75,87080.61,1259.8,15,19
2533951,2533.951,14.75,87078.66,1259.98,15,19
2533977,2533.977,14.75,87076.31,1260.2,15,19
2534003,2534.003,14.75,87080.23,1259.83,15,19
2534029,2534.029,14.75,87079.6,1259.89,15,19
2534055,2534.055,14.75,87078.02,1260.04,15,19
2534081,2534.081,14.75,87076.64,1260.17,15,19
2534107,2534.107,14.75,87075.2,1260.31,15,19
2534133,2534.133,14.76,87075.11,1260.32,15,19
2534159,2534.159,14.76,87077.03,1260.13,15,19
2534185,2534.185,14.76,87076.98,1260.14,15,19
2534211,2534.211,14.76,87079.95,1259.86,15,19
2534237,2534.237,14.76,87078.42,1260,15,19
2534263,2534.263,14.76,87078.59,1259.99,15,19
2534289,2534.289,14.76,87077.22,1260.12,15,19
2534315,2534.315,14.76,87078.3,1260.02,15,19
2534341,2534.341,14.76,87078.37,1260.01,15,19
2534367,2534.367,14.76,87076.03,1260.23,15,19
2534393,2534.393,14.76,87074.91,1260.33,15,19
2534419,2534.419,14.76,87073.88,1260.43,15,19
2534445,2534.445,14.76,87073.96,1260.42,16,20
2534471,2534.471,14.76,87075.18,1260.31,16,20
2534497,2534.497,14.76,87073.76,1260.44,16,20
2534523,2534.523,14.76,87071.32,1260.67,16,20
2534549,2534.549,14.76,87074.83,1260.34,16,20
2534575,2534.575,14.76,87072.41,1260.57,16,20
2534601,2534.601,14.76,87076.76,1260.16,16,20
2534627,2534.627,14.76,87075.35,1260.29,16,20
2534653,2534.653,14.76,87075.64,1260.27,16,20
2534679,2534.679,14.76,87072.94,1260.52,16,20
2534705,2534.705,14.76,87073.05,1260.51,16,20
2534730,2534.73,14.76,87072.21,1260.59,16,20
2534756,2534.756,14.76,87071.89,1260.62,16,20
